Date,State,Prices,Production
09-01-2018,West Bengal,1702,1954
10-01-2018,West Bengal,1707,1972
11-01-2018,West Bengal,1711,2015
12-01-2018,West Bengal,1716,2051
01-01-2019,West Bengal,1721,2108
02-01-2019,West Bengal,1725,2140
03-01-2019,West Bengal,1730,2117
04-01-2019,West Bengal,1763,2101
05-01-2019,West Bengal,1768,2055
06-01-2019,West Bengal,1772,2087
07-01-2019,West Bengal,1777,2140
08-01-2019,West Bengal,1781,2194
09-01-2019,West Bengal,1786,2164
10-01-2019,West Bengal,1790,2172
11-01-2019,West Bengal,1795,2156
12-01-2019,West Bengal,1800,2138
01-01-2020,West Bengal,1804,3200
02-01-2020,West Bengal,1809,3200
03-01-2020,West Bengal,1813,2980
04-01-2020,West Bengal,1847,2100
05-01-2020,West Bengal,1851,2201
06-01-2020,West Bengal,1856,3300
07-01-2020,West Bengal,1860,3180
08-01-2020,West Bengal,1865,3135
09-01-2020,West Bengal,1870,2189
10-01-2020,West Bengal,1874,2923
11-01-2020,West Bengal,1807,3082
12-01-2020,West Bengal,1812,3200
01-01-2021,West Bengal,1818,3450
02-01-2021,West Bengal,1823,3450
03-01-2021,West Bengal,1829,3412
04-01-2021,West Bengal,1834,3367
05-01-2021,West Bengal,1840,3324
06-01-2021,West Bengal,1846,3110
07-01-2021,West Bengal,1852,3110
08-01-2021,West Bengal,1858,3110
09-01-2021,West Bengal,1863,3225
10-01-2021,West Bengal,1870,3511
11-01-2021,West Bengal,1881,4060
12-01-2021,West Bengal,1887,3730
01-01-2022,West Bengal,1894,3608
02-01-2022,West Bengal,1900,3795
03-01-2022,West Bengal,1906,3887
04-01-2022,West Bengal,1912,4055
05-01-2022,West Bengal,1919,2460
06-01-2022,West Bengal,2021,2520
07-01-2022,West Bengal,1954,2576
08-01-2022,West Bengal,1852,2651
09-01-2022,West Bengal,1862,3555
10-01-2022,West Bengal,1985,3441
11-01-2022,West Bengal,1965,4090
12-01-2022,West Bengal,1700,4676
01-01-2023,West Bengal,1990,4510
02-01-2023,West Bengal,2015,4592
03-01-2023,West Bengal,1998,4375
04-01-2023,West Bengal,1978,4485
05-01-2023,West Bengal,1756,2711
06-01-2023,West Bengal,1823,2770
07-01-2023,West Bengal,1827,2824
08-01-2023,West Bengal,1945,2890
09-01-2023,West Bengal,1723,3606
10-01-2023,West Bengal,2013,3495
11-01-2023,West Bengal,2075,3995
12-01-2023,West Bengal,2156,4569
01-01-2024,West Bengal,2147,4800
02-01-2024,West Bengal,2068,2915
03-01-2024,West Bengal,2031,2949
04-01-2024,West Bengal,2185,2981
05-01-2024,West Bengal,2674,3014
06-01-2024,West Bengal,2971,3052
07-01-2024,West Bengal,2946,3087
08-01-2024,West Bengal,2101,3104
09-01-2024,West Bengal,2716,3155
10-01-2024,West Bengal,2815,3110
11-01-2024,West Bengal,2946,3215
12-01-2024,West Bengal,2138,3505
01-01-2025,West Bengal,1943,2978
02-01-2025,West Bengal,1946,2984
03-01-2025,West Bengal,1950,2999
04-01-2025,West Bengal,1953,3015
05-01-2025,West Bengal,1956,3030
06-01-2025,West Bengal,1959,3046
07-01-2018,Tamil Nadu,1440,1414
08-01-2018,Tamil Nadu,1250,1375
09-01-2018,Tamil Nadu,1375,1354
10-01-2018,Tamil Nadu,1430,1339
11-01-2018,Tamil Nadu,1430,1361
12-01-2018,Tamil Nadu,1430,1409
01-01-2019,Tamil Nadu,1430,1460
02-01-2019,Tamil Nadu,1688,1431
03-01-2019,Tamil Nadu,1688,1432
04-01-2019,Tamil Nadu,1688,1429
05-01-2019,Tamil Nadu,1688,1395
06-01-2019,Tamil Nadu,1750,1421
07-01-2019,Tamil Nadu,1750,1466
08-01-2019,Tamil Nadu,1750,1487
09-01-2019,Tamil Nadu,1750,1483
10-01-2019,Tamil Nadu,1750,1485
11-01-2019,Tamil Nadu,1750,1472
12-01-2019,Tamil Nadu,1818,1464
01-01-2020,Tamil Nadu,1533,3150
02-01-2020,Tamil Nadu,1533,3150
03-01-2020,Tamil Nadu,1493,2900
04-01-2020,Tamil Nadu,1493,1426
05-01-2020,Tamil Nadu,1400,1522
06-01-2020,Tamil Nadu,1400,3200
07-01-2020,Tamil Nadu,1533,3100
08-01-2020,Tamil Nadu,1533,3050
09-01-2020,Tamil Nadu,1533,1985
10-01-2020,Tamil Nadu,1530,2650
11-01-2020,Tamil Nadu,1440,2910
12-01-2020,Tamil Nadu,1400,3150
01-01-2021,Tamil Nadu,1500,3300
02-01-2021,Tamil Nadu,1626,3300
03-01-2021,Tamil Nadu,1600,3250
04-01-2021,Tamil Nadu,1400,3200
05-01-2021,Tamil Nadu,1400,3150
06-01-2021,Tamil Nadu,1533,2800
07-01-2021,Tamil Nadu,1325,2800
08-01-2021,Tamil Nadu,1335,2800
09-01-2021,Tamil Nadu,1440,2925
10-01-2021,Tamil Nadu,1600,3225
11-01-2021,Tamil Nadu,1640,3900
12-01-2021,Tamil Nadu,1705,3600
01-01-2022,Tamil Nadu,1710,3475
02-01-2022,Tamil Nadu,1665,3650
03-01-2022,Tamil Nadu,1600,3750
04-01-2022,Tamil Nadu,1500,3867
05-01-2022,Tamil Nadu,1500,2288
06-01-2022,Tamil Nadu,1500,2337
07-01-2022,Tamil Nadu,1560,2391
08-01-2022,Tamil Nadu,1610,2448
09-01-2022,Tamil Nadu,1660,3342
10-01-2022,Tamil Nadu,1740,3238
11-01-2022,Tamil Nadu,1820,3825
12-01-2022,Tamil Nadu,1930,4330
01-01-2023,Tamil Nadu,1895,4188
02-01-2023,Tamil Nadu,1905,4269
03-01-2023,Tamil Nadu,1848,4040
04-01-2023,Tamil Nadu,1740,4150
05-01-2023,Tamil Nadu,1740,2501
06-01-2023,Tamil Nadu,1804,2552
07-01-2023,Tamil Nadu,1900,2606
08-01-2023,Tamil Nadu,1900,2655
09-01-2023,Tamil Nadu,1918,3460
10-01-2023,Tamil Nadu,2020,3363
11-01-2023,Tamil Nadu,2110,3788
12-01-2023,Tamil Nadu,2138,4388
01-01-2024,Tamil Nadu,2120,4625
02-01-2024,Tamil Nadu,2025,2682
03-01-2024,Tamil Nadu,1974,2730
04-01-2024,Tamil Nadu,1983,2750
05-01-2024,Tamil Nadu,2104,2771
06-01-2024,Tamil Nadu,2170,2792
07-01-2024,Tamil Nadu,2185,2814
08-01-2024,Tamil Nadu,2088,2835
09-01-2024,Tamil Nadu,2080,2950
10-01-2024,Tamil Nadu,2125,2858
11-01-2024,Tamil Nadu,2140,3070
12-01-2024,Tamil Nadu,2228,3321
01-01-2025,Tamil Nadu,1701,2733
02-01-2025,Tamil Nadu,1704,2750
03-01-2025,Tamil Nadu,1710,2768
04-01-2025,Tamil Nadu,1714,2786
05-01-2025,Tamil Nadu,1718,2804
06-01-2025,Tamil Nadu,1722,2823
07-01-2018,Utar Pradesh,1425,1605
08-01-2018,Utar Pradesh,1600,1579
09-01-2018,Utar Pradesh,1585,1497
10-01-2018,Utar Pradesh,1445,1408
11-01-2018,Utar Pradesh,1550,1581
12-01-2018,Utar Pradesh,1750,1810
01-01-2019,Utar Pradesh,1750,1503
02-01-2019,Utar Pradesh,1750,1445
03-01-2019,Utar Pradesh,1750,1442
04-01-2019,Utar Pradesh,1750,1464
05-01-2019,Utar Pradesh,1750,1486
06-01-2019,Utar Pradesh,1750,1463
07-01-2019,Utar Pradesh,1750,1057
08-01-2019,Utar Pradesh,1710,1031
09-01-2019,Utar Pradesh,1760,1017
10-01-2019,Utar Pradesh,1800,1075
11-01-2019,Utar Pradesh,1810,1070
12-01-2019,Utar Pradesh,1790,1132
01-01-2020,Utar Pradesh,1795,1467
02-01-2020,Utar Pradesh,1795,1479
03-01-2020,Utar Pradesh,1810,1480
04-01-2020,Utar Pradesh,1800,1484
05-01-2020,Utar Pradesh,1750,1504
06-01-2020,Utar Pradesh,1750,1508
07-01-2020,Utar Pradesh,1690,1511
08-01-2020,Utar Pradesh,1715,1515
09-01-2020,Utar Pradesh,1670,1518
10-01-2020,Utar Pradesh,1625,1522
11-01-2020,Utar Pradesh,1868,1525
12-01-2020,Utar Pradesh,1868,1529
01-01-2021,Utar Pradesh,1880,1533
02-01-2021,Utar Pradesh,1868,1536
03-01-2021,Utar Pradesh,1660,1540
04-01-2021,Utar Pradesh,1640,1543
05-01-2021,Utar Pradesh,1560,1563
06-01-2021,Utar Pradesh,1500,1567
07-01-2021,Utar Pradesh,1460,1570
08-01-2021,Utar Pradesh,1500,1574
09-01-2021,Utar Pradesh,1560,1577
10-01-2021,Utar Pradesh,1940,1581
11-01-2021,Utar Pradesh,1940,1584
12-01-2021,Utar Pradesh,1940,1588
01-01-2022,Utar Pradesh,1940,1591
02-01-2022,Utar Pradesh,1940,1595
03-01-2022,Utar Pradesh,1820,1598
04-01-2022,Utar Pradesh,1650,1602
05-01-2022,Utar Pradesh,1480,1622
06-01-2022,Utar Pradesh,1485,1626
07-01-2022,Utar Pradesh,1500,1629
08-01-2022,Utar Pradesh,1600,1633
09-01-2022,Utar Pradesh,1780,1636
10-01-2022,Utar Pradesh,2040,1640
11-01-2022,Utar Pradesh,2040,1643
12-01-2022,Utar Pradesh,2040,1647
01-01-2023,Utar Pradesh,2040,1650
02-01-2023,Utar Pradesh,2040,1654
03-01-2023,Utar Pradesh,1916,1657
04-01-2023,Utar Pradesh,1856,1661
05-01-2023,Utar Pradesh,1921,1681
06-01-2023,Utar Pradesh,1936,1685
07-01-2023,Utar Pradesh,1896,1688
08-01-2023,Utar Pradesh,1884,1692
09-01-2023,Utar Pradesh,1991,1695
10-01-2023,Utar Pradesh,2096,1699
11-01-2023,Utar Pradesh,2184,1702
12-01-2023,Utar Pradesh,2183,1583
01-01-2024,Utar Pradesh,2184,1524
02-01-2024,Utar Pradesh,2171,1562
03-01-2024,Utar Pradesh,2165,1568
04-01-2024,Utar Pradesh,2164,1593
05-01-2024,Utar Pradesh,2224,1600
06-01-2024,Utar Pradesh,2244,1606
07-01-2024,Utar Pradesh,2264,1609
08-01-2024,Utar Pradesh,2305,1614
09-01-2024,Utar Pradesh,2345,1619
10-01-2024,Utar Pradesh,2343,1623
11-01-2024,Utar Pradesh,2342,1628
12-01-2024,Utar Pradesh,2281,1632
01-01-2025,Utar Pradesh,,1637
02-01-2025,Utar Pradesh,,1641
03-01-2025,Utar Pradesh,,1646
04-01-2025,Utar Pradesh,,1680
05-01-2025,Utar Pradesh,,1684
06-01-2025,Utar Pradesh,,1689
